_id,timestamp,message.hostname,message.imu.left.accelerations.x,message.imu.left.accelerations.y,message.imu.left.accelerations.z,message.imu.left.gyroscopes.x,message.imu.left.gyroscopes.y,message.imu.left.gyroscopes.z,message.imu.middle.accelerations.x,message.imu.middle.accelerations.y,message.imu.middle.accelerations.z,message.imu.middle.gyroscopes.x,message.imu.middle.gyroscopes.y,message.imu.middle.gyroscopes.z,message.imu.right.accelerations.x,message.imu.right.accelerations.y,message.imu.right.accelerations.z,message.imu.right.gyroscopes.x,message.imu.right.gyroscopes.y,message.imu.right.gyroscopes.z,message.timecode,message.timestamp,message.values[0],message.values[1],message.values[2],message.values[3],message.values[4],message.values[5],message.values[6],message.values[7],message.values[8],message.values[9],message.values[10],message.values[11],message.values[12],message.values[13],message.values[14],message.values[15],message.values[16],message.values[17]
68f65b23c658f28f7d093762,2025-10-20T15:54:11.737Z,raspberrypi,27,-43.76,11.28,0.23,10.04,0,-0.01,-0.02,39.19,14.92,39.19,9.27,-0.06,-0.01,0.09,-0.25,9.71,-0.02,33111.83,2025-10-06T07:11:51.831Z,27,-43.76,11.28,0.23,10.04,0,-0.06,-0.01,0.09,-0.25,9.71,-0.02,-0.01,-0.02,39.19,14.92,39.19,9.27
68f65b23c658f28f7d093764,2025-10-20T15:54:11.769Z,raspberrypi,19,14.92,39.19,9.27,-43.76,11.28,-0.2,9.8,-0.04,0.01,0.03,39.19,0.19,10.04,-0.01,-0.04,0,0.07,33111.83,2025-10-06T07:11:51.839Z,19,14.92,39.19,9.27,-43.76,11.28,0.19,10.04,-0.01,-0.04,0,0.07,-0.2,9.8,-0.04,0.01,0.03,39.19
68f65b23c658f28f7d093766,2025-10-20T15:54:11.769Z,raspberrypi,19,14.92,39.19,9.27,-43.76,11.28,-0.2,9.8,-0.04,0.01,0.03,39.19,0.19,10.04,-0.01,-0.04,0,0.07,33111.84,2025-10-06T07:11:51.847Z,19,14.92,39.19,9.27,-43.76,11.28,0.19,10.04,-0.01,-0.04,0,0.07,-0.2,9.8,-0.04,0.01,0.03,39.19
68f65b23c658f28f7d093769,2025-10-20T15:54:11.786Z,raspberrypi,19,14.92,39.19,9.27,-43.76,11.28,-0.2,9.8,-0.04,0.01,0.03,39.19,0.19,10.04,-0.01,-0.04,0,0.07,33111.85,2025-10-06T07:11:51.855Z,19,14.92,39.19,9.27,-43.76,11.28,0.19,10.04,-0.01,-0.04,0,0.07,-0.2,9.8,-0.04,0.01,0.03,39.19
68f65b23c658f28f7d09376c,2025-10-20T15:54:11.805Z,raspberrypi,0.01,-0.05,-0.01,0.03,-0.25,9.9,9.27,-43.76,11.28,0.17,10.09,-0.01,-0.02,0.01,-0.03,39.19,14.92,39.19,33111.86,2025-10-06T07:11:51.863Z,0.01,-0.05,-0.01,0.03,-0.25,9.9,-0.02,0.01,-0.03,39.19,14.92,39.19,9.27,-43.76,11.28,0.17,10.09,-0.01
68f65b23c658f28f7d09376e,2025-10-20T15:54:11.806Z,raspberrypi,0.01,-0.05,-0.01,0.03,-0.25,9.9,9.27,-43.76,11.28,0.17,10.09,-0.01,-0.02,0.01,-0.03,39.19,14.92,39.19,33111.87,2025-10-06T07:11:51.871Z,0.01,-0.05,-0.01,0.03,-0.25,9.9,-0.02,0.01,-0.03,39.19,14.92,39.19,9.27,-43.76,11.28,0.17,10.09,-0.01
68f65b23c658f28f7d093770,2025-10-20T15:54:11.807Z,raspberrypi,0.1,0.2,10.03,0.01,-0.08,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.01,-0.22,9.74,-0.02,-0.01,0.01,33111.88,2025-10-06T07:11:51.880Z,0.1,0.2,10.03,0.01,-0.08,-0.01,0.01,-0.22,9.74,-0.02,-0.01,0.01,39.19,14.92,39.19,9.27,-43.76,11.28
68f65b23c658f28f7d093772,2025-10-20T15:54:11.807Z,raspberrypi,0.1,0.2,10.03,0.01,-0.08,-0.01,39.19,14.92,39.19,9.27,-43.76,11.28,0.01,-0.22,9.74,-0.02,-0.01,0.01,33111.88,2025-10-06T07:11:51.888Z,0.1,0.2,10.03,0.01,-0.08,-0.01,0.01,-0.22,9.74,-0.02,-0.01,0.01,39.19,14.92,39.19,9.27,-43.76,11.28
68f65b23c658f28f7d093774,2025-10-20T15:54:11.808Z,raspberrypi,43.76,11.28,0.14,10.04,0,-0.04,-0.02,39.19,14.92,39.19,9.27,-43.76,0,0,-0.23,9.81,-0.02,0.01,33111.89,2025-10-06T07:11:51.896Z,43.76,11.28,0.14,10.04,0,-0.04,0,0,-0.23,9.81,-0.02,0.01,-0.02,39.19,14.92,39.19,9.27,-43.76
68f65b23c658f28f7d093777,2025-10-20T15:54:11.809Z,raspberrypi,43.76,11.28,0.14,10.04,0,-0.04,-0.02,39.19,14.92,39.19,9.27,-43.76,0,0,-0.23,9.81,-0.02,0.01,33111.9,2025-10-06T07:11:51.904Z,43.76,11.28,0.14,10.04,0,-0.04,0,0,-0.23,9.81,-0.02,0.01,-0.02,39.19,14.92,39.19,9.27,-43.76
